电影名称,上映年份,上映时间,类型,时长,评分,语言,导演
安昂传奇：最后的气宗,2026,2026-07-24,"动画,动作,冒险,奇幻",99,93,英语,劳伦·蒙哥马利
不期而遇的姐妹,2026,2026-03-12,"喜剧,爱情",85,89,西班牙语,Ihtzi Hurtado
奇幻变身大冒险,2026,2026-05-01,"冒险,动画,家庭,奇幻",102,89,英语,内森·格雷诺
肖申克的救赎,1994,1995-03-10,"剧情,犯罪",142,87,英语,弗兰克·德拉邦特
迈克尔·杰克逊：巨星之路,2026,2026-04-22,"音乐,剧情",136,87,英语,安东尼·福奎阿
教父,1972,1972-03-24,"剧情,犯罪",175,87,英语,弗朗西斯·科波拉
鬼灭之刃：无限城篇 第一章 猗窝座再袭,2025,2025-08-08,"动画,动作,奇幻",155,87,日语,外崎春雄
挽救计划,2026,2026-03-18,"科幻,冒险",157,87,英语,菲尔·洛德
年轻的心,2024,2024-10-12,"剧情,爱情",97,86,荷兰语,安东尼·沙特曼
辛德勒的名单,1993,1994-03-12,"剧情,历史,战争",195,86,英语,史蒂文·斯皮尔伯格
教父2,1974,1974-12-20,"剧情,犯罪",200,86,英语,弗朗西斯·科波拉
十二怒汉,1957,1957-04-10,剧情,96,86,英语,西德尼·吕美特
蝙蝠侠：黑暗骑士,2008,2008-07-17,"动作,犯罪,惊悚",152,85,英语,克里斯托弗·诺兰
千与千寻,2001,2001-12-28,"动画,家庭,奇幻",125,85,日语,宫崎骏
电锯人剧场版：蕾塞篇,2025,2025-09-26,"动画,动作,爱情,奇幻",100,85,日语,吉原达矢
勇夺芳心,1995,1995-10-20,"喜剧,剧情,爱情",190,85,印地语,Aditya Chopra
绿里奇迹,1999,2000-03-11,"奇幻,剧情,犯罪",189,85,英语,弗兰克·德拉邦特
指环王3：王者无敌,2003,2003-12-18,"冒险,奇幻,动作",263,85,英语,彼得·杰克逊
寄生虫,2019,2019-06-28,"喜剧,惊悚,剧情",132,85,朝鲜语,奉俊昊
星际穿越,2014,2014-11-07,"冒险,剧情,科幻",169,85,英语,克里斯托弗·诺兰
蜘蛛侠：崭新之日,2026,2026-07-29,"科幻,动作,冒险",145,79,英语,德斯汀·丹尼尔·克雷顿
奥德赛,2026,2026-07-17,"冒险,动作,奇幻",173,80,英语,克里斯托弗·诺兰
Spider-Man: No Way Home,2021,2021-12-15,"动作,冒险,科幻",148,79,"$200,000,000",乔恩·沃茨
最后孤屋,2026,2026-08-07,"恐怖,科幻,惊悚",110,68,英语,路易斯·莱特里尔
超级少女,2026,2026-06-24,"动作,冒险,科幻",108,68,英语,克雷格·吉勒斯佩
玩具总动员5,2026,2026-06-17,"动画,家庭,喜剧,冒险",102,74,英语,安德鲁·斯坦顿
罗宾汉之死,2026,2026-06-19,"冒险,剧情,动作",123,64,英语,迈克尔·萨诺斯基
群体,2026,2026-05-22,"动作,恐怖,科幻",123,81,朝鲜语,延尚昊
痴迷,2026,2026-08-07,"恐怖,惊悚",108,82,英语,Curry Barker
小黄人与大怪兽,2026,2026-06-30,"冒险,动画,喜剧,家庭,奇幻",90,63,英语,皮埃尔·科芬
蜘蛛侠：英雄归来,2017,2017-07-05,"动作,冒险,科幻",133,73,英语,乔恩·沃茨
