电影名称,时长,评分,求
安昂传奇：最后的气宗,99,93,9207
不期而遇的姐妹,85,89,7565
奇幻变身大冒险,102,89,9078
肖申克的救赎,142,87,12354
迈克尔·杰克逊：巨星之路,136,87,11832
教父,175,87,15225
鬼灭之刃：无限城篇 第一章 猗窝座再袭,155,87,13485
挽救计划,157,87,13659
年轻的心,97,86,8342
辛德勒的名单,195,86,16770
教父2,200,86,17200
十二怒汉,96,86,8256
蝙蝠侠：黑暗骑士,152,85,12920
千与千寻,125,85,10625
电锯人剧场版：蕾塞篇,100,85,8500
勇夺芳心,190,85,16150
绿里奇迹,189,85,16065
指环王3：王者无敌,263,85,22355
寄生虫,132,85,11220
星际穿越,169,85,14365
蜘蛛侠：崭新之日,145,79,11455
奥德赛,173,80,13840
Spider-Man: No Way Home,148,79,11692
最后孤屋,110,68,7480
超级少女,108,68,7344
玩具总动员5,102,74,7548
罗宾汉之死,123,64,7872
群体,123,81,9963
痴迷,108,82,8856
小黄人与大怪兽,90,63,5670
蜘蛛侠：英雄归来,133,73,9709
揭秘日,146,74,10804
鬼玩人：炼狱,110,79,8690
恶魔之口,106,66,6996
海洋奇缘：启航,115,60,6900
The Odyssey,86,60,5160
后室,111,71,7881
安昂传奇：最后的气宗,99,93,9207
宇宙巨人：希曼崛起,141,72,10152
利未记,88,67,5896
蜘蛛侠：崭新之日,145,79,11455
奥德赛,173,80,13840
Spider-Man: No Way Home,148,79,11692
最后孤屋,110,68,7480
超级少女,108,68,7344
玩具总动员5,102,74,7548
罗宾汉之死,123,64,7872
群体,123,81,9963
痴迷,108,82,8856
小黄人与大怪兽,90,63,5670
蜘蛛侠：英雄归来,133,73,9709
揭秘日,146,74,10804
鬼玩人：炼狱,110,79,8690
恶魔之口,106,66,6996
海洋奇缘：启航,115,60,6900
The Odyssey,86,60,5160
后室,111,71,7881
安昂传奇：最后的气宗,99,93,9207
宇宙巨人：希曼崛起,141,72,10152
利未记,88,67,5896
蜘蛛侠：崭新之日,145,79,11455
奥德赛,173,80,13840
Spider-Man: No Way Home,148,79,11692
最后孤屋,110,68,7480
超级少女,108,68,7344
玩具总动员5,102,74,7548
罗宾汉之死,123,64,7872
群体,123,81,9963
痴迷,108,82,8856
小黄人与大怪兽,90,63,5670
蜘蛛侠：英雄归来,133,73,9709
揭秘日,146,74,10804
鬼玩人：炼狱,110,79,8690
恶魔之口,106,66,6996
海洋奇缘：启航,115,60,6900
The Odyssey,86,60,5160
后室,111,71,7881
安昂传奇：最后的气宗,99,93,9207
宇宙巨人：希曼崛起,141,72,10152
利未记,88,67,5896
蜘蛛侠：崭新之日,145,79,11455
奥德赛,173,80,13840
Spider-Man: No Way Home,148,79,11692
最后孤屋,110,68,7480
超级少女,108,68,7344
玩具总动员5,102,74,7548
罗宾汉之死,123,64,7872
群体,123,81,9963
痴迷,108,82,8856
小黄人与大怪兽,90,63,5670
蜘蛛侠：英雄归来,133,73,9709
揭秘日,146,74,10804
鬼玩人：炼狱,110,79,8690
恶魔之口,106,66,6996
海洋奇缘：启航,115,60,6900
The Odyssey,86,60,5160
后室,111,71,7881
安昂传奇：最后的气宗,99,93,9207
宇宙巨人：希曼崛起,141,72,10152
利未记,88,67,5896
